200922-949-52	\sqrt { \gamma }
formulaire004-equation068	a _ { n } = n ^ { - \beta }
200922-947-24	\int e ^ { - z ^ { 2 } } d z = e r f ( z )
MfrDB1798	t = \frac { t _ { 0 } } { \sqrt { 1 - \frac { v ^ { 2 } } { c ^ { 2 } } } }
MfrDB3565	a _ { n } = a _ { 1 } \cdot q ^ { n - 1 }
formulaire002-equation051	\frac { 1 } { n ^ { k + 2 } }
MfrDB2201	A ( x ) = \frac { 1 } { x } + \frac { 1 } { x ^ { 2 } } + B ( x )
2009213-137-60	\frac { \beta + \gamma } { \theta }
formulaire017-equation071	1 + ( d + 1 ) ( r - 1 )
2009213-139-7	\sum \limits _ { m } f ( m + 3 )
MfrDB3425	\int \limits _ { 0 } ^ { 1 } \sqrt { x } d x
2009212-952-44	\sin ( \frac { \pi } { 4 } ) = \frac { 1 } { \sqrt { 2 } }
200926-1550-26	a + \frac { \sqrt { b + c } } { 2 }
MfrDB0159	\sqrt { 1 4 4 } + \sqrt { 3 2 }
formulaire006-equation039	v _ { \phi } v _ { g } \leq c ^ { 2 }
200922-1017-14	a + \sqrt { \frac { b + c } { d + f } }
TrainData2_25_sub_20	a + b + c + d + e
106_Frank	y ^ { 4 } + y + 1 = 0
2009212-952-43	\frac { \pi r ^ { 2 } h } { 3 }
TrainData2_17_sub_61	\int ( 2 ^ { x } - 3 e ^ { x } ) d x
formulaire003-equation000	1 2 \div 7 5 \geq 0
2009212-952-19	x ^ { 2 } + y ^ { 2 } = z ^ { 2 }
KME2G3_5_sub_81	\pi \int \limits _ { c } ^ { d } \{ g ( y ) \} ^ { 2 } d y
MfrDB1941	f ^ { \prime } ( x ) = \frac { 1 } { 2 \sqrt { x } }
200923-1253-112	\sum \limits _ { 4 = y } ^ { - d } z - c
formulaire032-equation060	9 5 - 1 3 5 \neq - 5
MfrDB2942	\sqrt [ n ] { \frac { n + 1 } { ( n - 1 ) ^ { 2 } } }
MfrDB1621	\int 2 x d x = x ^ { 2 } + C
formulaire032-equation003	\frac { \beta } { \alpha + 1 }
MfrDB1272	\int \cos t d t = \sin t
200924-1331-32	a x ^ { 4 } + b x + c = 0
formulaire001-equation050	1 1 3 + ( 1 6 8 \div 8 6 ) \leq 1 1 5
200922-1017-98	\sum \limits _ { n = \beta } ^ { 8 } - r
65_user0	x = r \cos \theta
MfrDB2428	t = \frac { t _ { 0 } } { \sqrt { 1 - \frac { v ^ { 2 } } { c ^ { 2 } } } }
formulaire004-equation005	7 \times 1 5 4 \neq - 1 3 6 2
MfrDB3302	h ( x , y ) = x ^ { y + \frac { 1 } { y } }
200923-131-13	\sqrt { 1 + \sqrt { 1 + z ^ { 2 } } }
200925-1126-43	\frac { \pi r ^ { 2 } h } { 3 }
200923-1553-248	G \int \limits _ { Y } ^ { \int N d o } E d \Delta
MfrDB1321	x ^ { 2 } - x - 6 < 0
TrainData1_6_sub_5	e ^ { i \pi } + 1 = 0
MfrDB0050	1 = \sin ^ { 2 } x + \cos ^ { 2 } x
MfrDB2200	f ( x ) \cdot h ( x ) = ( x + 1 ) ( 2 x - 3 )
200922-949-42	\frac { 1 } { 3 } \pi r ^ { 2 } h
formulaire027-equation006	\frac { 1 } { 3 } n ( 2 n ^ { 2 } + 1 )
MfrDB3387	v _ { c } = v _ { c - 1 } ( \frac { r - c } { c } )
MfrDB2902	v _ { c } = v _ { c - 1 } ( \frac { r - c } { c } )
200923-1254-14	a + \sqrt { \frac { b + c } { d + f } }
formulaire038-equation070	( 1 4 8 - 4 7 ) \times 6 2 \leq 6 2 6 2
MfrDB2856	( \frac { 1 } { m ^ { 2 } } - \frac { 3 m } { n } + \frac { 2 } { m n } )
200926-1550-19	x ^ { 2 } + y ^ { 2 } = z ^ { 2 }
MfrDB2671	x ^ { 2 } - x - 6 < 0
MfrDB0103	v = ( a ^ { 2 } - 2 b c ) \sqrt [ 3 ] { 2 }
KME2G3_13_sub_96	[ b ^ { x } \{ ( \frac { a } { b } ) ^ { x } + 1 \} ] ^ { \frac { 1 } { x } }
TrainData2_2_sub_20	a + b + c + d + e
65_miguel	x = r \cos \theta
MfrDB1127	x = \sin ( \frac { \alpha } { 2 } )
2009210-947-48	\sin ( \frac { \pi } { 3 } ) = \frac { 1 } { 2 }
TrainData2_24_sub_20	a + b + c + d + e
MfrDB1841	\log 5 + \log 4 x = 2
200924-1331-18	a ^ { x } + b ^ { x } + \frac { c } { 2 }
MfrDB2912	| a - b | \leq | a - c | + | c - b |
MfrDB1315	f ( x ) \cdot h ( x ) = ( x + 1 ) ( 2 x - 3 )
formulaire007-equation068	( x _ { 1 } + y _ { 1 } \sqrt { n } ) ^ { k }
MfrDB2000	f ( x ) \cdot h ( x ) = ( x + 1 ) ( 2 x - 3 )
formulaire010-equation045	2 5 - 8 2 \leq - 5 6
200924-1312-43	\frac { \pi r ^ { 2 } h } { 3 }
TrainData2_21_sub_15	( x ^ { 3 } - x ^ { 2 } - x ) ( 2 x - 7 )
MfrDB3374	\sqrt { x y z } = \sqrt { x } \sqrt { y } \sqrt { z }
200924-1331-135	6 \sum \limits _ { V > E } m - \frac { R } { H }
MfrDB1685	( y - 3 ) ( y + 3 ) + y ( y + 3 ) = 0
TrainData2_13_sub_61	\int ( 2 ^ { x } - 3 e ^ { x } ) d x
MfrDB1252	2 \log ( x - 3 ) = \log ( 5 - x )
TrainData2_1_sub_61	\int ( 2 ^ { x } - 3 e ^ { x } ) d x
2009213-137-77	g \geq \frac { b } { \sum p }
200923-1553-252	\int \limits _ { A ( X ) } ^ { V } \sum c d y
MfrDB2118	\int \cos t d t = \sin t
KME2G3_5_sub_96	[ b ^ { x } \{ ( \frac { a } { b } ) ^ { x } + 1 \} ] ^ { \frac { 1 } { x } }
200923-1253-24	\int e ^ { - z ^ { 2 } } d z = e r f ( z )
TrainData2_14_sub_61	\int ( 2 ^ { x } - 3 e ^ { x } ) d x
formulaire032-equation070	1 1 0 - 1 7 5 \geq - 6 5
200922-1017-43	\frac { \pi r ^ { 2 } h } { 3 }
KME2G3_18_sub_81	\pi \int \limits _ { c } ^ { d } \{ g ( y ) \} ^ { 2 } d y
formulaire011-equation005	1 7 0 \pm 8 \times 1 0 9
formulaire008-equation042	( \pm 1 , 0 , 0 , \pm 1 )
MfrDB3398	\frac { 2 ^ { 5 } } { 3 + 1 }
formulaire011-equation043	\theta = \theta _ { 1 } \pm \theta _ { 2 }
KME2G3_10_sub_81	\pi \int \limits _ { c } ^ { d } \{ g ( y ) \} ^ { 2 } d y
TrainData1_4_sub_5	e ^ { i \pi } + 1 = 0
KME2G3_0_sub_96	[ b ^ { x } \{ ( \frac { a } { b } ) ^ { x } + 1 \} ] ^ { \frac { 1 } { x } }
MfrDB0082	x ( t ) = a + r \cdot \cos ( v t )
MfrDB1535	\sqrt { a } = 2 ^ { - n } \sqrt { 4 ^ { n } a }
MfrDB1462	a _ { n } = a _ { 1 } \cdot q ^ { n - 1 }
MfrDB2905	v _ { c } = v _ { c - 1 } ( \frac { r - c } { c } )
formulaire035-equation037	\frac { p } { q } = \frac { p _ { 0 } } { q _ { 0 } }
200923-1553-26	a + \frac { \sqrt { b + c } } { 2 }
KME2G3_25_sub_65	[ \frac { 2 } { 3 } x ^ { \frac { 3 } { 2 } } ] _ { 0 } ^ { 1 }
formulaire023-equation064	p + 1 + 2 \sqrt { p }
200926-1617-144	\sum \limits _ { g > R ^ { r } } u + ( c )
formulaire011-equation058	e ^ { - x ^ { 2 } }
KME2G3_6_sub_81	\pi \int \limits _ { c } ^ { d } \{ g ( y ) \} ^ { 2 } d y
TrainData2_9_sub_20	a + b + c + d + e
MfrDB1942	\sqrt { x } = 1 0 ^ { ( \log x ) / 2 }
formulaire003-equation033	f ( x ) = X ^ { 2 } - 4 X - 5
formulaire031-equation036	x ^ { 3 } - 3 x + 1
106_miguel	y ^ { 4 } + y + 1 = 0
200923-1553-44	\sin ( \frac { \pi } { 4 } ) = \frac { 1 } { \sqrt { 2 } }
MfrDB1088	a ^ { 2 } + b ^ { 2 } = c ^ { 2 }
MfrDB1721	s = s _ { 0 } t + \frac { 1 } { 2 } a t ^ { 2 }
200923-1251-32	a x ^ { 4 } + b x + c = 0
MfrDB3517	2 \log ( x - 3 ) = \log ( 5 - x )
200922-949-38	\frac { 4 } { 3 } \pi r ^ { 3 }
MfrDB2921	v _ { c } = v _ { c - 1 } ( \frac { r - c } { c } )
formulaire013-equation052	\cos ( \beta ) = \sin ( \alpha )
MfrDB1946	\sum \limits _ { i = 1 } ^ { n } i = \frac { 1 } { 2 } n ( n + 1 )
MfrDB1556	\frac { 5 x - 7 } { 3 } \leq 2 x + 5
76_Nina	a = b \cos C + c \cos B
65_daniel	x = r \cos \theta
MfrDB1720	t = \frac { t _ { 0 } } { \sqrt { 1 - \frac { v ^ { 2 } } { c ^ { 2 } } } }
200923-1556-48	\sin ( \frac { \pi } { 3 } ) = \frac { 1 } { 2 }
200924-1331-19	x ^ { 2 } + y ^ { 2 } = z ^ { 2 }
TrainData2_16_sub_15	( x ^ { 3 } - x ^ { 2 } - x ) ( 2 x - 7 )
200923-1553-221	\cdots + g - w
MfrDB2945	( 1 + x ) ^ { r } \geq 1 + r x
MfrDB3236	( \frac { 1 } { m ^ { 2 } } - \frac { 3 m } { n } + \frac { 2 } { m n } )
formulaire008-equation032	\sum \limits _ { p } \frac { 1 } { p ^ { s } }
2009213-137-19	x ^ { 2 } + y ^ { 2 } = z ^ { 2 }
MfrDB3049	\lim \limits _ { x \rightarrow c } f ( x ) = f ( c )
formulaire012-equation008	a ^ { 3 } + b ^ { 3 } = c ^ { 3 }
MfrDB3372	f ^ { \prime } ( x ) = \frac { 1 } { 2 \sqrt { x } }
200924-1312-230	Y ^ { \cdots + \sqrt { Y } }
2009213-137-26	a + \frac { \sqrt { b + c } } { 2 }
TrainData2_24_sub_15	( x ^ { 3 } - x ^ { 2 } - x ) ( 2 x - 7 )
MfrDB2125	a ^ { 2 } + b ^ { 2 } = c ^ { 2 }
200923-1553-21	z \geq \frac { h } { 0 }
formulaire024-equation056	5 ^ { 5 ^ { 5 } } + 2
formulaire022-equation071	e ^ { i \pi } = - 1
formulaire032-equation066	\frac { - 1 + i \sqrt { 3 } } { 2 }
MfrDB1911	a _ { n } = a _ { 1 } \cdot q ^ { n - 1 }
formulaire035-equation068	x ^ { 4 } - 4 x ^ { 2 } + 2
formulaire025-equation012	\frac { p _ { m - 1 } } { q _ { m - 1 } }
107_Nina	a ^ { 2 } + b ^ { 2 } = ( a + b i ) ( a - b i )
2009213-137-61	k ^ { 3 } + 1 4 k ^ { 2 } - 1 3 2 k + 1 7 8 9
2009220-1327-55	\frac { 1 } { \sin ( x ) + 1 }
200922-949-0	\sin ^ { 2 } ( x ) + \cos ^ { 2 } ( x ) = 1
MfrDB2209	\sqrt { x y z } = \sqrt { x } \sqrt { y } \sqrt { z }
TrainData2_0_sub_15	( x ^ { 3 } - x ^ { 2 } - x ) ( 2 x - 7 )
MfrDB2159	| \sin z | = \sqrt { 1 - \cos ^ { 2 } z }
TrainData2_19_sub_20	a + b + c + d + e
TrainData2_3_sub_61	\int ( 2 ^ { x } - 3 e ^ { x } ) d x
formulaire033-equation046	x ^ { 2 } - \beta _ { g } x + \gamma _ { g }
200923-1253-2	\int e ^ { x ^ { 2 } } x ^ { 3 } d x
MfrDB2869	\sum \limits _ { n = 1 } ^ { \infty } ( b _ { n } - b _ { n + 1 } )
MfrDB1755	( y - 3 ) ( y + 3 ) + y ( y + 3 ) = 0
KME2G3_16_sub_81	\pi \int \limits _ { c } ^ { d } \{ g ( y ) \} ^ { 2 } d y
200924-1331-61	k ^ { 3 } + 1 4 k ^ { 2 } - 1 3 2 k + 1 7 8 9
TrainData1_2_sub_3	x ^ { 2 } + y ^ { 2 } < 1
TrainData2_11_sub_61	\int ( 2 ^ { x } - 3 e ^ { x } ) d x
formulaire034-equation069	\frac { d p } { d t } = c p ( 1 - p ) - e p
formulaire036-equation070	1 3 4 + ( 6 1 \times 6 6 ) \geq 4 1 5 9
MfrDB0101	- 1 6 ( 4 a ^ { 3 } + 2 7 b ^ { 2 } ) = 0
KME2G3_30_sub_81	\pi \int \limits _ { c } ^ { d } \{ g ( y ) \} ^ { 2 } d y
200926-131-26	a + \frac { \sqrt { b + c } } { 2 }
formulaire029-equation063	6 = 1 ^ { 2 } + 1 ^ { 2 } + 2 ^ { 2 }
TrainData2_13_sub_20	a + b + c + d + e
formulaire025-equation060	7 2 \pm 7 8 - 1 8 7 + 0
200926-131-177	a ^ { m + a + N }
MfrDB1587	t = \frac { t _ { 0 } } { \sqrt { 1 - \frac { v ^ { 2 } } { c ^ { 2 } } } }
formulaire013-equation061	\sqrt { a } \sqrt { b } = \sqrt { a b }
MfrDB1477	\int \limits _ { 0 } ^ { 1 } \sqrt { x } d x
MfrDB1974	\lim \limits _ { n \rightarrow \infty } x _ { n } = L
MfrDB1953	\int \limits _ { a } ^ { b } f ( x ) d x = F ( b ) - F ( a )
200926-1617-110	n \leq T ^ { B + p }
MfrDB1487	s = s _ { 0 } t + \frac { 1 } { 2 } a t ^ { 2 }
107_rosario	a ^ { 2 } + b ^ { 2 } = ( a + b i ) ( a - b i )
MfrDB2937	( 1 + x ) ^ { r } \geq 1 + r x
formulaire020-equation020	6 5 \times 1 9 7 \leq 1 2 8 0 5
MfrDB0098	f ( a , b , c ) = - \frac { n b } { a + c }
MfrDB3351	1 + t g ^ { 2 } y = \frac { 1 } { \cos ^ { 2 } y }
MfrDB3072	\sum \limits _ { n = 0 } ^ { \infty } f _ { n } ( x )
200923-1553-47	y ^ { \sigma - I } \int 0 . 4 d n
TrainData1_4_sub_15	F _ { n } = F _ { n - 1 } + F _ { n - 2 }
formulaire006-equation006	3 ^ { n + 1 } + 2
MfrDB1253	2 ^ { x + 1 } - 2 ^ { x } = 1 6
formulaire008-equation002	\theta _ { 1 } , \ldots , \theta _ { g }
KME2G3_19_sub_81	\pi \int \limits _ { c } ^ { d } \{ g ( y ) \} ^ { 2 } d y
MfrDB2893	\sqrt [ n ] { \frac { n + 1 } { ( n - 1 ) ^ { 2 } } }
TrainData2_26_sub_15	( x ^ { 3 } - x ^ { 2 } - x ) ( 2 x - 7 )
MfrDB2186	a ^ { 2 } + b ^ { 2 } = c ^ { 2 }
200923-1556-167	\frac { \frac { v } { R } v _ { d } } { R }
formulaire035-equation011	b = a \sqrt { 1 - e ^ { 2 } }
MfrDB3474	( \frac { 1 } { m ^ { 2 } } - \frac { 3 m } { n } + \frac { 2 } { m n } )
MfrDB2016	| \sin z | = \sqrt { 1 - \cos ^ { 2 } z }
formulaire022-equation067	\lim ( u _ { n } ) = + \infty
MfrDB0019	h ( x , y ) = 2 x ^ { 2 } y - y ^ { 3 }
MfrDB0069	| x - z | \leq | x - y | + | y - z |
200925-1126-24	\int e ^ { - z ^ { 2 } } d z = e r f ( z )
MfrDB3071	v _ { c } = v _ { c - 1 } ( \frac { r - c } { c } )
200924-1312-44	\sin ( \frac { \pi } { 4 } ) = \frac { 1 } { \sqrt { 2 } }
formulaire028-equation065	9 5 \times 4 7 \leq 4 4 6 5
formulaire026-equation001	\frac { \pi ^ { 2 } } { 3 } s ^ { 2 }
MfrDB3830	\sqrt { x } = 1 0 ^ { ( \log x ) / 2 }
MfrDB1588	s = s _ { 0 } t + \frac { 1 } { 2 } a t ^ { 2 }
KME2G3_30_sub_96	[ b ^ { x } \{ ( \frac { a } { b } ) ^ { x } + 1 \} ] ^ { \frac { 1 } { x } }
TrainData2_15_sub_6	x _ { i } - x _ { i + 1 } + x _ { i + 2 }
KME2G3_23_sub_26	x _ { 1 } \times x _ { 2 } \times x _ { 3 } \times x _ { 4 } = X
MfrDB1933	| a - b | \leq | a - c | + | c - b |
formulaire032-equation051	f ^ { - 1 } ( x ) = \log _ { a } ( x )
200923-131-19	x ^ { 2 } + y ^ { 2 } = z ^ { 2 }
formulaire039-equation006	\frac { 3 \sqrt { 3 } } { 2 } s ^ { 2 }
formulaire014-equation047	\frac { 1 } { \sqrt { 1 - x ^ { 2 } } }
2009213-139-14	a + \sqrt { \frac { b + c } { d + f } }
KME2G3_20_sub_81	\pi \int \limits _ { c } ^ { d } \{ g ( y ) \} ^ { 2 } d y
formulaire038-equation042	n \rightarrow \infty
TrainData2_18_sub_63	\frac { 1 } { a } F ( a x + b ) + C
MfrDB3551	| a - b | \leq | a - c | + | c - b |
MfrDB2115	\int \limits _ { a } ^ { b } f ( x ) d x = F ( b ) - F ( a )
formulaire004-equation031	2 X ^ { 2 } + 5 X - 3 = 0
formulaire016-equation031	\alpha ^ { 2 } + \beta ^ { 2 } = 1
2009213-137-14	a + \sqrt { \frac { b + c } { d + f } }
MfrDB3174	\sum \limits _ { n = 1 } ^ { \infty } ( b _ { n } - b _ { n + 1 } )
2009212-1031-44	\cdots + \frac { e } { s }
formulaire002-equation012	x ( \theta ) = a \sin ( p \theta )
65_david	x = r \cos \theta
MfrDB1844	2 ^ { x + 1 } - 2 ^ { x } = 1 6
200922-947-26	a + \frac { \sqrt { b + c } } { 2 }
200924-1331-82	\sum \limits _ { u > v } - \sigma + ( a )
MfrDB2861	g ( x , y ) = \sqrt [ 3 ] { x - y } + \sqrt { | x + y | }
formulaire036-equation006	2 z ^ { 2 } - 3 z - 3 - \sqrt { 2 } = 0
MfrDB3020	( \frac { 1 } { m ^ { 2 } } - \frac { 3 m } { n } + \frac { 2 } { m n } )
2009213-137-196	\sum \limits _ { E \geq c } p + R
TrainData2_26_sub_6	x _ { i } - x _ { i + 1 } + x _ { i + 2 }
MfrDB3502	\frac { \sqrt { 9 9 x ^ { 7 } } } { 1 1 x ^ { 3 } }
formulaire022-equation045	1 8 3 \times 9 9 \geq 1 8 1 1 6
MfrDB2502	2 \log ( x - 3 ) = \log ( 5 - x )
KME2G3_17_sub_30	\sum \limits _ { i = 2 n + 3 m } ^ { 1 0 } i x
TrainData2_11_sub_6	x _ { i } - x _ { i + 1 } + x _ { i + 2 }
formulaire037-equation045	9 7 - 1 8 7 \geq - 9 0
formulaire012-equation050	1 0 0 + 1 8 9 \neq - 8 1
MfrDB3465	\sqrt { x y z } = \sqrt { x } \sqrt { y } \sqrt { z }
200923-1251-61	k ^ { 3 } + 1 4 k ^ { 2 } - 1 3 2 k + 1 7 8 9
formulaire023-equation053	( ( - 1 ) ^ { n } n + n )
formulaire014-equation010	( 2 4 \times 3 6 ) + 1 8 \leq 8 8 2
formulaire036-equation028	y _ { 1 } = \frac { 1 } { \sqrt { 2 } }
MfrDB2203	\frac { ( | a | - | b | ) ^ { 2 } } { | a - b | }
MfrDB2851	x _ { 1 } = \frac { ( 1 - \frac { 2 } { \sqrt { N - 1 } } ) N } { L }
MfrDB3558	x ^ { 2 } - x - 6 < 0
MfrDB1524	| a - b | \leq | a - c | + | c - b |
200923-1254-44	\sin ( \frac { \pi } { 4 } ) = \frac { 1 } { \sqrt { 2 } }
MfrDB0804	( 2 + 3 + 4 + 5 ) / 2 0
200923-1253-194	G - M \leq \frac { I } { \pi }
TrainData2_8_sub_20	a + b + c + d + e
MfrDB3084	\sum \limits _ { n = 0 } ^ { \infty } ( b _ { n } - b _ { n + 1 } )
MfrDB3266	( x + 1 ) ^ { n + 1 } = ( x + 1 ) ( x + 1 ) ^ { n }
MfrDB3479	\frac { ( x + 3 ) ( x - 5 ) } { 3 ( x - 1 ) } > 0
formulaire014-equation009	\beta = ( \beta _ { 1 } , \beta _ { 2 } , \ldots , \beta _ { n } )
MfrDB2251	\frac { d } { d t } P ( t ) = P ( t ) \cdot ( 1 - P ( t ) )
MfrDB2772	| \sin z | = \sqrt { 1 - \cos ^ { 2 } z }
formulaire028-equation005	1 3 1 + 1 7 9 \neq - 1 3 4
formulaire034-equation001	\sum \limits _ { k = 1 } ^ { 4 } k ^ { 2 }
TrainData2_9_sub_61	\int ( 2 ^ { x } - 3 e ^ { x } ) d x
200926-1550-32	a x ^ { 4 } + b x + c = 0
MfrDB0095	| x - \frac { a } { b } | \leq \frac { 1 } { b ( n + 1 ) }
200923-1254-55	\frac { 1 } { \sin ( x ) + 1 }
2009213-139-65	\frac { \phi } { \sum \lambda }
formulaire028-equation060	( 9 5 / 9 7 ) - 1 2 0 \neq - 8 9
TrainData2_7_sub_61	\int ( 2 ^ { x } - 3 e ^ { x } ) d x
MfrDB0047	( a + b ) ^ { 2 } = a ^ { 2 } + 2 a b + b ^ { 2 }
MfrDB3022	h ( x , y ) = x ^ { y + \frac { 1 } { y } }
200923-1556-61	k ^ { 3 } + 1 4 k ^ { 2 } - 1 3 2 k + 1 7 8 9
TrainData2_26_sub_20	a + b + c + d + e
formulaire030-equation028	\frac { \sqrt { a ^ { 2 } - b ^ { 2 } } } { a }
TrainData2_20_sub_15	( x ^ { 3 } - x ^ { 2 } - x ) ( 2 x - 7 )
109_edwin	\sqrt [ x ] { \frac { a } { b } } = \frac { \sqrt [ x ] { a } } { \sqrt [ x ] { b } }
formulaire022-equation016	\frac { 4 } { 3 } \pi a b c
MfrDB3081	v _ { c } = v _ { c - 1 } ( \frac { r - c } { c } )
MfrDB3442	\lim \limits _ { n \rightarrow \infty } x _ { n } = L
MfrDB0013	\frac { x ^ { 2 } - 1 } { x + 1 } = x - 1
MfrDB1984	\sin x = \sin ( x + 2 \pi k )
MfrDB1688	\log 5 + \log 4 x = 2
MfrDB2286	\frac { \sqrt { 9 9 x ^ { 7 } } } { 1 1 x ^ { 3 } }
200922-947-19	x ^ { 2 } + y ^ { 2 } = z ^ { 2 }
200922-1017-61	k ^ { 3 } + 1 4 k ^ { 2 } - 1 3 2 k + 1 7 8 9
formulaire034-equation047	h _ { e } ( z ) = h _ { 0 } + h _ { 2 } z ^ { - 1 }
TrainData2_19_sub_63	\frac { 1 } { a } F ( a x + b ) + C
formulaire033-equation027	0 \leq l \leq k
MfrDB1597	\lim \limits _ { n \rightarrow \infty } x _ { n } = L
TrainData2_7_sub_63	\frac { 1 } { a } F ( a x + b ) + C
KME2G3_12_sub_26	x _ { 1 } \times x _ { 2 } \times x _ { 3 } \times x _ { 4 } = X
MfrDB3057	\sum \limits _ { i = 0 } ^ { n } n i = 2 ^ { n }
TrainData2_3_sub_15	( x ^ { 3 } - x ^ { 2 } - x ) ( 2 x - 7 )
MfrDB0106	f _ { x } ( u ) = ( 2 - i ) x ^ { 2 } + ( 1 + i )
KME2G3_13_sub_81	\pi \int \limits _ { c } ^ { d } \{ g ( y ) \} ^ { 2 } d y
2009213-139-251	- I - S ^ { s } \geq - E
MfrDB2768	\sin x = \sin ( x + 2 \pi k )
200926-131-37	1 3 + \pi r ^ { 2 }
TrainData1_2_sub_15	F _ { n } = F _ { n - 1 } + F _ { n - 2 }
MfrDB1577	\int \limits _ { a } ^ { b } f ( x ) d x = F ( b ) - F ( a )
formulaire001-equation024	1 - 1 + 1 - 1 + \ldots
107_user0	a ^ { 2 } + b ^ { 2 } = ( a + b i ) ( a - b i )
MfrDB2884	\int \cos t d t = \sin t
TrainData2_21_sub_63	\frac { 1 } { a } F ( a x + b ) + C
MfrDB3211	\sum \limits _ { n = 0 } ^ { \infty } f _ { n } ( x )
200926-1617-21	\frac { H - X - x } { \sqrt { G } }
MfrDB3040	\lim \limits _ { x \rightarrow c } f ( x ) = f ( c )
MfrDB1630	( 9 - a ^ { 5 } ) ^ { 2 } + ( 6 - b ^ { 9 } ) ^ { 2 }
MfrDB2974	\sum \limits _ { n = 1 } ^ { \infty } ( b _ { n } - b _ { n + 1 } )
200926-1617-232	\cdots - \cdots + k ^ { v } ( z )
TrainData2_14_sub_6	x _ { i } - x _ { i + 1 } + x _ { i + 2 }
TrainData2_8_sub_63	\frac { 1 } { a } F ( a x + b ) + C
200923-131-0	\sin ^ { 2 } ( x ) + \cos ^ { 2 } ( x ) = 1
MfrDB1326	\sqrt { x } = 1 0 ^ { ( \log x ) / 2 }
formulaire006-equation001	r = \alpha ( \theta ) \pm d
2009213-139-60	\frac { \beta + \gamma } { \theta }
formulaire034-equation057	X ( t ) = X ( 0 ) + \int \limits _ { 0 } ^ { t } X ( s ) d s
formulaire007-equation025	3 7 \times 4 5 \geq 1 6 6 4
2009213-139-187	\frac { o } { \sqrt { c } }
200923-1251-216	\frac { \cdots + \sum H } { f }
formulaire005-equation067	x ( t ) = v _ { 0 } \cos \alpha t
MfrDB3285	\lim \limits _ { x \rightarrow c } f ( x ) = f ( c )
KME2G3_11_sub_81	\pi \int \limits _ { c } ^ { d } \{ g ( y ) \} ^ { 2 } d y
formulaire038-equation065	1 7 - ( 8 1 / ( 9 \times 1 9 4 ) ) \neq - 1 6
TrainData1_7_sub_5	e ^ { i \pi } + 1 = 0
200923-1556-24	\int e ^ { - z ^ { 2 } } d z = e r f ( z )
MfrDB3237	\sum \limits _ { n = 1 } ^ { \infty } ( b _ { n } - b _ { n + 1 } )
TrainData2_12_sub_20	a + b + c + d + e
200926-131-61	k ^ { 3 } + 1 4 k ^ { 2 } - 1 3 2 k + 1 7 8 9
formulaire010-equation062	( - \sin ( a ) , \cos ( a ) )
TrainData2_9_sub_15	( x ^ { 3 } - x ^ { 2 } - x ) ( 2 x - 7 )
KME2G3_9_sub_26	x _ { 1 } \times x _ { 2 } \times x _ { 3 } \times x _ { 4 } = X
formulaire018-equation044	\int \limits _ { 0 } ^ { \infty } d x x ^ { n }
formulaire009-equation025	3 4 \pm 8 9 \times 1 2 8
formulaire019-equation023	( \frac { 1 } { 2 } a ) + \sqrt { ( \frac { 1 } { 4 } a a ) + ( b b ) }
MfrDB2100	2 ^ { x + 1 } - 2 ^ { x } = 1 6
MfrDB2213	| a + i b | = \sqrt { x ^ { 2 } + y ^ { 2 } }
200923-1553-32	a x ^ { 4 } + b x + c = 0
formulaire028-equation010	1 6 0 \pm 1 1 0 \times 4 6
formulaire019-equation041	a = \sqrt { 2 } ^ { \sqrt { 2 } }
200923-1251-19	x ^ { 2 } + y ^ { 2 } = z ^ { 2 }
107_leissi	a ^ { 2 } + b ^ { 2 } = ( a + b i ) ( a - b i )
MfrDB2903	( 1 + x ) ^ { r } \geq 1 + r x
2009210-947-5	- I - w - n
95_herbert	b = c \sin B = c \cos A
KME2G3_19_sub_96	[ b ^ { x } \{ ( \frac { a } { b } ) ^ { x } + 1 \} ] ^ { \frac { 1 } { x } }
MfrDB3904	\frac { b } { a ^ { 2 } - a } - \frac { b } { a - 1 }
formulaire026-equation013	5 = ( \pm 2 ) ^ { 2 } + ( \pm 1 ) ^ { 2 }
formulaire026-equation057	\theta _ { x } , \theta _ { y } , \theta _ { z }
formulaire004-equation074	a = b ^ { \frac { q ^ { d } - 1 } { 2 } }
formulaire031-equation005	( 8 8 - 1 8 5 + 9 9 ) / 1 5 3 \neq 0
MfrDB1889	\frac { b } { a ^ { 2 } - a } - \frac { b } { a - 1 }
MfrDB0199	5 \times ( 1 + 2 ) = 3 \times 5
200922-949-19	x ^ { 2 } + y ^ { 2 } = z ^ { 2 }
formulaire035-equation070	1 3 5 \div ( 7 0 - 3 9 - 1 4 3 ) \neq 2
formulaire035-equation005	1 3 5 \div ( 7 0 - 3 9 - 1 4 3 ) \neq 2
formulaire002-equation068	x ^ { 2 } + 2 x \sqrt { 2 } + 1
108_rosario	a ^ { x } a ^ { y } = a ^ { x + y }
MfrDB0099	y ^ { 2 } = x ^ { 3 } + x + 1
MfrDB2774	t g 2 x = \frac { 2 t g x } { 1 - t g ^ { 2 } x }
200923-1254-61	k ^ { 3 } + 1 4 k ^ { 2 } - 1 3 2 k + 1 7 8 9
118_Nina	P ( x ) = \sum \limits _ { i = 0 } ^ { n } a _ { j } x ^ { j }
118_rosario	P ( x ) = \sum \limits _ { i = 0 } ^ { n } a _ { j } x ^ { j }
